"PreSens Measurement Studio 2","3.0.1.1503",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"09/21/2023","12:26:55","6","default","730628695","OXY_CH6","0.351","min","227.994","μmol/L","Humid","23.348","deg","107875","µV","17.650","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370824.38","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:26:56","6","default","730628695","OXY_CH6","0.368","min","228.020","μmol/L","Humid","23.349","deg","107877","µV","17.643","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370818.04","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:26:57","6","default","730628695","OXY_CH6","0.385","min","228.012","μmol/L","Humid","23.351","deg","107880","µV","17.638","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370811.29","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:26:58","6","default","730628695","OXY_CH6","0.402","min","227.850","μmol/L","Humid","23.352","deg","107889","µV","17.659","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370826.31","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:26:59","6","default","730628695","OXY_CH6","0.418","min","227.930","μmol/L","Humid","23.353","deg","107889","µV","17.645","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370809.92","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:27:00","6","default","730628695","OXY_CH6","0.434","min","227.972","μmol/L","Humid","23.351","deg","107891","µV","17.644","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370813.86","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:27:01","6","default","730628695","OXY_CH6","0.451","min","227.918","μmol/L","Humid","23.355","deg","107895","µV","17.641","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370812.30","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:27:02","6","default","730628695","OXY_CH6","0.468","min","227.826","μmol/L","Humid","23.357","deg","107898","µV","17.649","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370818.37","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:27:03","6","default","730628695","OXY_CH6","0.485","min","227.907","μmol/L","Humid","23.354","deg","107898","µV","17.645","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370811.01","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
"09/21/2023","12:27:04","6","default","730628695","OXY_CH6","0.502","min","227.895","μmol/L","Humid","23.359","deg","107897","µV","17.633","°C","1018.000","hPa","35.0","pmil","0","54.995","deg","22.899","°C","100.000","%a.s.","21.979","deg","22.903","°C","1019.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","26.25","0","44.00","370814.84","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","171027-020","9/21/2023 10:14:19 AM","0000-00","0","no battery","V"
